author,station,section,lat,long,bottomdepth,Location,date,time,date
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/10/2013,,10/10/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,14/12/2011,,14/12/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,14/12/2011,,14/12/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,17/02/2012,,17/02/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,22/06/2013,,22/06/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/02/2013,,18/02/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,24/06/2011,,24/06/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,24/06/2011,,24/06/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/06/2012,,10/06/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/10/2012,,10/10/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/01/2011,,18/01/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/01/2011,,18/01/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,12/02/2011,,12/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,13/02/2011,,13/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,17/02/2011,,17/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,21/02/2011,,21/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,3/03/2011,,3/03/2011
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,9/11/2016,12h00,9/11/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,9/11/2016,12h00,9/11/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,9/11/2016,12h00,9/11/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,10/11/2016,12h00,10/11/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,10/11/2016,12h00,10/11/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,10/11/2016,12h00,10/11/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/11/2016,12h00,22/11/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/11/2016,12h00,22/11/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/11/2016,12h00,22/11/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,21/12/2016,12h00,21/12/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,21/12/2016,12h00,21/12/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,21/12/2016,12h00,21/12/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,20/02/2017,12h00,20/02/2017
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,20/02/2017,12h00,20/02/2017
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,20/02/2017,12h00,20/02/2017
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,18/03/2017,12h00,18/03/2017
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,18/03/2017,12h00,18/03/2017
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,18/03/2017,12h00,18/03/2017
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,6/05/2017,12h00,6/05/2017
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,6/05/2017,12h00,6/05/2017
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,6/05/2017,12h00,6/05/2017
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,8/05/2017,12h00,8/05/2017
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,8/05/2017,12h00,8/05/2017
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,8/05/2017,12h00,8/05/2017
Epstein et al 2019,Heron,outershelf,-23.4468,151.9129,,Australia: Queensland: Heron Island:Coral Gardens Flat,12/10/2017,,12/10/2017
Epstein et al 2019,Heron,outershelf,-23.4468,151.9129,,Australia: Queensland: Heron Island:Coral Gardens Flat,21/10/2017,,21/10/2017
Epstein et al 2019,Heron 2,outershelf,-23.4474,151.9126,,Australia: Queensland: Heron Island:Coral Gardens Slope,12/10/2017,,12/10/2017
Epstein et al 2019,Heron 2,outershelf,-23.4474,151.9126,,Australia: Queensland: Heron Island:Coral Gardens Slope,21/10/2017,,21/10/2017
Epstein et al 2019,Heron 3,outershelf,-23.454,151.9263,,Australia: Queensland: Heron Island:Coral Canyons Flat,12/10/2017,,12/10/2017
Epstein et al 2019,Heron 3,outershelf,-23.454,151.9263,,Australia: Queensland: Heron Island:Coral Canyons Flat,21/10/2017,,21/10/2017
Epstein et al 2019,Heron 4,outershelf,-23.4552,151.9245,,Australia: Queensland: Heron Island:Coral Canyons Slope,12/10/2017,,12/10/2017
Epstein et al 2019,Heron 4,outershelf,-23.4552,151.9245,,Australia: Queensland: Heron Island:Coral Canyons Slope,21/10/2017,,21/10/2017
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,31/05/2011,,31/05/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,17/06/2011,,17/06/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,31/07/2011,,31/07/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,3/08/2011,,3/08/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,22/08/2011,,22/08/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,26/10/2011,,26/10/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,10/11/2011,,10/11/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,2/12/2011,,2/12/2011
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,21/01/2012,,21/01/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,14/02/2012,,14/02/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,20/03/2012,,20/03/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,2/05/2012,,2/05/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,31/05/2012,,31/05/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,23/06/2012,,23/06/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,26/09/2012,,26/09/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,11/10/2012,,11/10/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,7/11/2012,,7/11/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,6/12/2012,,6/12/2012
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,19/01/2013,,19/01/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,19/02/2013,,19/02/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,21/03/2013,,21/03/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,25/04/2013,,25/04/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,27/05/2013,,27/05/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,4/07/2013,,4/07/2013
BPA unpublished,Yongala,lagoon,-19.3085,147.6184,,Australia: Queensland: Yongala,23/07/2013,,23/07/2013
BPA unpublished,Somerset,Coral Sea,-10.8068,144.12098,,Australia: Queensland: CoralSea: Somerset,21/10/2012,,21/10/2012
BPA unpublished,Shelburne,Coral Sea,-11.67618,144.22622,,Australia: Queensland: CoralSea: Shelburne,21/10/2012,,21/10/2012
BPA unpublished,Coen,Coral Sea,-13.85525,144.6757,,Australia: Queensland: CoralSea: Coen,22/10/2012,,22/10/2012
BPA unpublished,Cairns,Coral Sea,-16.29925,146.06018,,Australia: Queensland: CoralSea: Cairns,23/10/2012,,23/10/2012
BPA unpublished, Somerset,Coral Sea,-10.54188,143.98418,,Australia: Queensland: CoralSea: Somerset,3/08/2013,,3/08/2013
BPA unpublished,Coen 2,Coral Sea,-13.8939,144.39577,,Australia: Queensland: CoralSea: Coen,4/08/2013,,4/08/2013
BPA unpublished,Cairns 2,Coral Sea,-16.71875,146.35648,,Australia: Queensland: CoralSea:  Cairns,5/08/2013,,5/08/2013
BPA unpublished,Townsville,Coral Sea,-19.05628,148.97592,,Australia: Queensland: CoralSea: Townsville,6/08/2013,,6/08/2013
BPA unpublished,Bundaberg,Coral Sea,-24.55175,153.6313,,Australia: Queensland:  CoralSea: Bundaberg,8/08/2013,,8/08/2013
